,N,iter_count,n_call_callback_fun,n_call_nlp_f,n_call_nlp_g,n_call_nlp_grad,n_call_nlp_grad_f,n_call_nlp_hess_l,n_call_nlp_jac_g,n_call_total,return_status,success,t_proc_callback_fun,t_proc_nlp_f,t_proc_nlp_g,t_proc_nlp_grad,t_proc_nlp_grad_f,t_proc_nlp_hess_l,t_proc_nlp_jac_g,t_proc_total,t_wall_callback_fun,t_wall_nlp_f,t_wall_nlp_g,t_wall_nlp_grad,t_wall_nlp_grad_f,t_wall_nlp_hess_l,t_wall_nlp_jac_g,t_wall_total,unified_return_status
"0",48,22,0,70,25,0,24,22,24,1,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.00033100000000000035,0.000153,0.0,0.00014700000000000002,0.000379,0.0002740000000000001,0.010773,SOLVER_RET_SUCCESS
"900.0",48,21,0,65,22,0,23,21,23,1,0,True,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.01,0.0,0.00029299999999999975,0.00012399999999999998,0.0,0.00013599999999999997,0.00032,0.00023,0.00972,SOLVER_RET_SUCCESS
"1800.0",48,22,0,71,26,0,24,22,24,1,0,True,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.01,0.0,0.00033400000000000026,0.00016100000000000004,0.0,0.000151,0.00038199999999999996,0.000258,0.010858,SOLVER_RET_SUCCESS
"2700.0",48,32,0,101,36,0,34,32,34,1,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.012,0.0,0.00041399999999999965,0.00018300000000000008,0.0,0.00018100000000000006,0.000489,0.0003150000000000001,0.013397,SOLVER_RET_SUCCESS
"3600.0",48,30,0,102,41,0,32,30,32,1,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.00044699999999999997,0.00024000000000000017,0.0,0.00017800000000000007,0.0005399999999999999,0.0003110000000000001,0.014323,SOLVER_RET_SUCCESS
"4500.0",48,67,0,206,71,0,69,67,69,1,0,True,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.027,0.0,0.0008539999999999985,0.0003870000000000002,0.0,0.0003600000000000003,0.0010170000000000001,0.0006229999999999996,0.026815,SOLVER_RET_SUCCESS
"5400.0",48,38,0,119,42,0,40,38,40,1,0,True,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.015,0.0,0.00046299999999999976,0.0002220000000000002,0.0,0.00019900000000000012,0.000553,0.0003559999999999998,0.015038,SOLVER_RET_SUCCESS
"6300.0",48,62,0,195,70,0,64,62,64,1,0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0007529999999999988,0.0003690000000000001,0.0,0.0003260000000000001,0.000908,0.0005669999999999998,0.024023,SOLVER_RET_SUCCESS
"7200.0",48,35,0,110,39,0,37,35,37,1,0,True,0.0,0.001,0.0,0.0,0.0,0.001,0.001,0.014,0.0,0.00045699999999999956,0.0002400000000000002,0.0,0.00019499999999999997,0.0005389999999999999,0.0003359999999999998,0.014303,SOLVER_RET_SUCCESS
"8100.0",48,40,0,125,44,0,42,40,42,1,0,True,0.0,0.001,0.0,0.0,0.0,0.0,0.001,0.018,0.0,0.0005419999999999997,0.0002540000000000002,0.0,0.00023700000000000018,0.000675,0.00041199999999999993,0.01737,SOLVER_RET_SUCCESS
"9000.0",48,35,0,110,39,0,37,35,37,1,0,True,0.0,0.0,0.0,0.0,0.001,0.0,0.002,0.014,0.0,0.0004259999999999995,0.00019900000000000012,0.0,0.00019000000000000012,0.000489,0.00032599999999999985,0.013784,SOLVER_RET_SUCCESS
